P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.RJJN
5300001860,04.06.2015,301146,325,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.HBLI
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.CRTR
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.TMKR
5300001860,04.06.2015,301146,155,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.MYSR
5300001860,04.06.2015,301146,315,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.BELG
5300001860,04.06.2015,301146,230,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.GULB
5300001860,04.06.2015,301146,255,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0305.BNPU
5300001860,04.06.2015,301146,245,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.DEVG
5300001860,04.06.2015,301146,235,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.DHWD
5300001860,04.06.2015,301146,190,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.KOLR
5300001860,04.06.2015,301146,205,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.CHIT
5300001860,04.06.2015,301146,115,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.KNKP
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.RJJN
5300001860,04.06.2015,301146,155,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.BIDR
5300001860,04.06.2015,301146,135,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.MNDY
5300001860,04.06.2015,301146,105,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.YLHK
5300001860,04.06.2015,301146,105,Jayant Printery LLP,14000000286,XI Maths Booklet-1,A,30,0399.CHAM
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.MNPU
5300001860,04.06.2015,301146,325,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.HBLI
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.CRTR
5300001860,04.06.2015,301146,405,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.TMKR
5300001860,04.06.2015,301146,155,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.MYSR
5300001860,04.06.2015,301146,315,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.BELG
5300001860,04.06.2015,301146,230,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.GULB
5300001860,04.06.2015,301146,255,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0305.BNPU
5300001860,04.06.2015,301146,245,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.DEVG
5300001860,04.06.2015,301146,235,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.DHWD
5300001860,04.06.2015,301146,190,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.KOLR
5300001860,04.06.2015,301146,205,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.CHIT
5300001860,04.06.2015,301146,115,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.KNKP
5300001860,04.06.2015,301146,160,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.RJJN
5300001860,04.06.2015,301146,155,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.BIDR
5300001860,04.06.2015,301146,135,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.MNDY
5300001860,04.06.2015,301146,105,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.YLHK
5300001860,04.06.2015,301146,105,Jayant Printery LLP,14000000283,XI Chemistry Booklet-1,A,85,0399.CHAM
5500002771,27.03.2015,300104,1,Arctic HVAC Engineering Pvt. Ltd.,16000001234,Blower (L.G. Split AC Part),A,"1,800.00",0101.BHYW
5500003564,12.09.2015,300104,1,Arctic HVAC Engineering Pvt. Ltd.,16000001212,Display,A,"1,200.00",0106.GRGW
